"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","cards_yellow","cards_red","cards_yellow_red","fouls","fouled","offsides","crosses","interceptions","tackles_won","pens_won","pens_conceded","own_goals","ball_recoveries","aerials_won","aerials_lost","aerials_won_pct"
"375622c5","2013-2014","FRA","1. Ligue 1","5th","Lyon",21,20.2,5,1,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"375622c5","2014-2015","FRA","1. Ligue 1","2nd","Lyon",22,28.9,7,0,NULL,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"375622c5","2015-2016","FRA","1. Ligue 1","2nd","Lyon",23,27.2,8,0,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"375622c5","2016-2017","FRA","1. Ligue 1","4th","Lyon",24,11.7,4,0,0,24,15,3,16,7,9,1,0,0,NULL,NULL,NULL,NULL
"375622c5","2017-2018","FRA","1. Ligue 1","3rd","Lyon",25,7.1,4,0,0,16,9,0,3,9,13,0,0,0,73,1,4,20
"375622c5","2018-2019","FRA","1. Ligue 1","3rd","Lyon",26,1.3,0,0,0,3,3,0,3,2,4,0,0,0,12,0,1,0
"375622c5","2018-2019","FRA","1. Ligue 1","9th","Nîmes",26,20.8,5,0,0,43,28,2,14,9,35,0,0,0,290,15,25,37.5
"375622c5","2019-2020","FRA","1. Ligue 1","8th","Montpellier",27,12.8,1,1,0,22,31,0,18,11,17,0,0,0,146,13,12,52
"375622c5","2020-2021","FRA","1. Ligue 1","8th","Montpellier",28,28.6,6,0,0,59,38,0,15,17,61,0,0,0,332,22,30,42.3
"375622c5","2021-2022","FRA","1. Ligue 1","5th","Montpellier",29,16.4,7,1,1,22,37,0,12,17,34,0,0,0,196,7,21,25
"375ed9d7","2021-2022","ESP","1. La Liga","19th","Cádiz",22,2,0,0,0,2,3,3,0,2,2,0,0,0,10,13,20,39.4
"378825c7","2014-2015","BEL","1. Pro League","15th","Lierse",19,21.3,5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"378825c7","2015-2016","FRA","1. Ligue 1","12th","Montpellier",20,15,7,0,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"378825c7","2016-2017","FRA","1. Ligue 1","9th","Rennes",21,20.4,4,2,0,26,22,0,22,57,45,0,1,0,NULL,NULL,NULL,NULL
"378825c7","2017-2018","FRA","1. Ligue 1","5th","Rennes",22,26,6,0,0,40,40,4,41,36,19,0,1,1,316,33,12,73.3
"378825c7","2018-2019","FRA","1. Ligue 1","10th","Rennes",23,23.9,9,0,0,29,33,1,29,25,30,0,1,1,238,39,25,60.9
"379652be","2016-2017","ESP","1. La Liga","8th","Espanyol",18,3.4,0,0,0,2,11,0,2,1,5,0,0,0,NULL,NULL,NULL,NULL
"379652be","2017-2018","ESP","1. La Liga","11th","Espanyol",19,7.6,1,0,0,10,25,0,5,3,1,0,0,0,57,2,6,25
"379652be","2018-2019","ESP","1. La Liga","7th","Espanyol",20,22.2,3,0,0,17,69,0,16,13,12,0,0,0,147,11,27,28.9
"379652be","2019-2020","ESP","1. La Liga","20th","Espanyol",21,12.4,0,0,0,9,40,0,8,2,6,0,0,0,65,7,20,25.9
"379652be","2020-2021","ESP","2. Segunda División","1st","Espanyol",22,16.8,0,0,0,7,43,1,4,3,5,NULL,NULL,0,NULL,NULL,NULL,NULL
"379652be","2021-2022","ESP","1. La Liga","11th","Espanyol",23,5.3,0,0,0,4,16,0,1,1,1,0,0,0,30,5,10,33.3
"37d04e90","2020-2021","FRA","2. Ligue 2","16th","Dunkerque",22,30.5,4,0,0,36,77,1,117,22,21,NULL,NULL,0,NULL,NULL,NULL,NULL
"37d04e90","2021-2022","FRA","1. Ligue 1","14th","Reims",23,12.2,1,0,0,11,31,4,23,14,10,0,0,0,82,1,15,6.3
"37dc1a48","2019-2020","DEN","1. Superliga","4th","Brøndby",19,14,5,0,0,21,16,7,47,10,14,NULL,NULL,0,NULL,NULL,NULL,NULL
"37dc1a48","2020-2021","DEN","1. Superliga","1st","Brøndby",20,26.2,4,1,0,38,30,3,115,22,17,NULL,NULL,0,NULL,NULL,NULL,NULL
"37dc1a48","2021-2022","GER","1. Bundesliga","6th","Eint Frankfurt",21,9.9,0,0,0,16,7,1,21,18,9,0,0,0,54,6,25,19.4
"37e103f8","2017-2018","ESP","1. La Liga","8th","Getafe",17,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"37e103f8","2018-2019","ESP","1. La Liga","5th","Getafe",18,4.6,0,0,0,10,16,0,2,2,4,1,0,0,23,7,13,35
"37e103f8","2019-2020","ESP","1. La Liga","8th","Getafe",19,4.2,3,0,0,14,17,1,3,1,2,1,0,0,23,14,38,26.9
"37e103f8","2020-2021","ESP","1. La Liga","2nd","Real Madrid",20,0.6,0,0,0,1,1,0,1,0,0,0,0,0,1,1,5,16.7
"37e103f8","2021-2022","ESP","1. La Liga","16th","Getafe",21,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,50
"37e103f8","2021-2022","ESP","1. La Liga","8th","Valencia",21,10.9,0,0,0,12,26,2,5,5,10,2,0,0,63,27,33,45
"37f1cf47","2013-2014","ESP","2. Segunda División","1st","Eibar",21,20.4,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37f1cf47","2014-2015","ESP","1. La Liga","18th","Eibar",22,26.7,6,0,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37f1cf47","2015-2016","ESP","1. La Liga","14th","Eibar",23,34.7,12,0,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37f1cf47","2016-2017","ESP","1. La Liga","10th","Eibar",24,28.3,9,1,1,41,26,1,110,65,56,0,1,0,NULL,NULL,NULL,NULL
"37f1cf47","2017-2018","ESP","1. La Liga","9th","Eibar",25,25,4,0,0,38,12,6,70,30,25,0,0,0,317,17,6,73.9
"37f1cf47","2018-2019","ESP","1. La Liga","8th","Athletic Club",26,18.2,9,0,0,42,17,8,42,19,21,0,0,0,185,25,12,67.6
"37f1cf47","2019-2020","ESP","1. La Liga","11th","Athletic Club",27,31.9,10,0,0,50,15,6,61,20,32,0,0,0,301,43,19,69.4
"37f1cf47","2020-2021","ESP","1. La Liga","10th","Athletic Club",28,23.7,5,0,0,34,9,1,54,30,23,0,1,0,214,23,22,51.1
"37f606f0","2017-2018","GER","1. Bundesliga","3rd","Hoffenheim",19,17.6,9,0,0,64,30,0,9,23,34,0,0,0,189,6,18,25
"37f606f0","2018-2019","GER","1. Bundesliga","9th","Hoffenheim",20,2.7,1,0,0,6,6,0,2,3,1,1,0,0,26,1,5,16.7
"37f606f0","2019-2020","GER","1. Bundesliga","6th","Hoffenheim",21,12.6,3,0,0,28,17,1,13,7,10,0,0,0,103,6,15,28.6
"37f606f0","2020-2021","GER","1. Bundesliga","11th","Hoffenheim",22,7.3,4,1,0,17,9,0,12,5,11,0,1,0,55,2,7,22.2
"37f606f0","2021-2022","GER","1. Bundesliga","5th","Hoffenheim",23,8.9,3,0,0,27,14,0,9,17,13,0,0,0,76,0,6,0
"37f827ec","2014-2015","ESP","1. La Liga","13th","Elche",21,32,6,0,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37f827ec","2014-2015","CHI","1. Primera División","10th","Univ Católica",21,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"37f827ec","2015-2016","ESP","1. La Liga","13th","Espanyol",22,27.5,9,0,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37f827ec","2016-2017","MEX","1. Liga MX","14th","Cruz Azul",23,23.1,4,2,1,31,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"37f827ec","2017-2018","MEX","1. Liga MX","6th","Cruz Azul",24,20.2,9,0,0,32,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"37f827ec","2018-2019","TUR","1. Süper Lig","3rd","Beşiktaş",25,2.7,1,0,0,4,2,0,0,2,4,0,0,1,NULL,NULL,NULL,NULL
"37f827ec","2019-2020","TUR","1. Süper Lig","3rd","Beşiktaş",26,9.2,2,0,0,9,4,1,0,7,5,NULL,NULL,0,NULL,NULL,NULL,NULL
"37f827ec","2020-2021","TUR","1. Süper Lig","8th","Fatih Karagümrük",27,30.4,8,2,1,33,30,1,2,40,32,NULL,NULL,0,NULL,NULL,NULL,NULL
"37f827ec","2021-2022","ESP","1. La Liga","17th","Elche",28,14.6,5,0,0,21,4,1,0,27,9,0,1,0,108,35,23,60.3
"380a15e2","2018-2019","FRA","1. Ligue 1","6th","Montpellier",20,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,NULL
"380a15e2","2019-2020","FRA","1. Ligue 1","8th","Montpellier",21,2.2,0,1,0,0,0,0,0,0,1,0,0,0,16,0,0,NULL
"380a15e2","2020-2021","FRA","1. Ligue 1","8th","Montpellier",22,8.3,0,0,0,0,4,0,0,0,0,0,0,0,50,0,0,NULL
"380a15e2","2021-2022","FRA","1. Ligue 1","5th","Montpellier",23,5,0,0,0,0,2,0,0,0,0,0,0,1,17,0,0,NULL
"38126309","2017-2018","ESP","2. Segunda División","3rd","Zaragoza",21,27.5,4,0,0,34,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"38126309","2018-2019","ESP","2. Segunda División","4th","Albacete",22,35,8,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"38126309","2019-2020","ESP","1. La Liga","19th","Mallorca",23,18.8,4,0,0,26,57,0,7,19,25,1,0,0,125,3,16,15.8
"38126309","2020-2021","ESP","2. Segunda División","2nd","Mallorca",24,13.1,2,0,0,25,43,1,8,7,11,NULL,NULL,0,NULL,NULL,NULL,NULL
"38126309","2021-2022","ESP","1. La Liga","15th","Mallorca",25,1.3,1,0,0,2,4,0,0,0,4,0,0,0,14,2,2,50
"3814b753","2017-2018","NED","2. Eerste Divisie","6th","Telstar",22,7.6,0,1,0,11,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"3814b753","2019","JPN","1. J1 League","18th","Júbilo Iwata",23,10.3,4,1,1,26,16,12,15,2,6,NULL,NULL,0,NULL,NULL,NULL,NULL
"3814b753","2019-2020","TUR","1. Süper Lig","18th","Ankaragücü",24,10.8,4,1,1,29,19,4,13,4,9,NULL,NULL,0,NULL,NULL,NULL,NULL
"3814b753","2019-2020","UKR","1. Premier League","2nd","Dynamo Kyiv",24,5.4,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3814b753","2020-2021","UKR","1. Premier League","1st","Dynamo Kyiv",25,9.5,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3814b753","2021-2022","UKR","1. Premier League","2nd","Dynamo Kyiv",26,1.6,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3814b753","2021-2022","FRA","1. Ligue 1","15th","Troyes",26,6.4,5,0,0,22,12,3,3,2,6,0,0,0,35,10,14,41.7
"384d58d9","2015-2016","SUI","1. Swiss Super League","2nd","Young Boys",18,20.5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"384d58d9","2016-2017","SUI","1. Swiss Super League","2nd","Young Boys",19,21.3,6,0,0,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"38699c72","2011-2012","ESP","2. Segunda División","21st","Alcoyano",18,12.2,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38699c72","2015-2016","ESP","2. Segunda División","13th","Tenerife",22,24.6,6,0,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38699c72","2016-2017","ESP","2. Segunda División","4th","Tenerife",23,23.7,3,0,0,66,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"38699c72","2017-2018","ESP","2. Segunda División","20th","Barcelona B",24,13.3,6,0,0,16,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"38699c72","2017-2018","ESP","1. La Liga","10th","Girona",24,5.2,0,0,0,21,12,4,8,1,3,0,0,0,21,5,13,27.8
"38699c72","2018-2019","ESP","1. La Liga","18th","Girona",25,8.1,4,1,0,43,14,5,12,1,4,1,0,0,45,21,20,51.2
"38699c72","2019-2020","ESP","2. Segunda División","2nd","Cádiz",26,24.7,10,1,1,91,42,16,11,5,10,NULL,NULL,0,NULL,NULL,NULL,NULL
