"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","dribbles_completed","dribbles","dribbles_completed_pct","players_dribbled_past","nutmegs","carries","carry_distance","carry_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","pass_targets","passes_received","passes_received_pct","progressive_passes_received"
"00638016","2021-2022","FRA","1. Ligue 1","19th","Lorient",24,6.9,407,54,238,182,14,2,400,0,1,0,0,0,245,1267,618,15,4,0,1,1,268,265,98.9,0
"00672803","2018-2019","GER","Jr. U19 Bundesliga","13th","Bayern U19",15,1.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00672803","2018-2019","GER","Jr. U17 Bundesliga","2nd","FC Bayern U17",15,20.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00672803","2019-2020","GER","Jr. U19 Bundesliga","3rd","Bayern U19",16,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00672803","2020-2021","GER","3. 3. Liga","18th","Bayern Munich II",17,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00672803","2021-2022","GER","1. Bundesliga","15th","Augsburg",18,0.1,4,1,1,3,1,0,4,0,0,NULL,0,0,2,24,16,0,0,0,0,0,1,0,0,0
"0076ab7f","2010-2011","NED","1. Dutch Eredivisie","13th","NAC Breda",18,20.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0076ab7f","2011-2012","NED","1. Dutch Eredivisie","13th","NAC Breda",19,11.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0076ab7f","2012-2013","NED","1. Dutch Eredivisie","13th","NAC Breda",20,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0076ab7f","2013-2014","NED","1. Dutch Eredivisie","8th","AZ Alkmaar",21,27.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0076ab7f","2014-2015","NED","1. Dutch Eredivisie","3rd","AZ Alkmaar",22,31.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0076ab7f","2015-2016","NED","1. Dutch Eredivisie","2nd","Ajax",23,33.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0076ab7f","2016-2017","NED","1. Dutch Eredivisie","2nd","Ajax",24,5.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0076ab7f","2017","CHN","1. Super League","13th","Tianjin TEDA",25,18.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
