"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","sca","sca_per90","sca_passes_live","sca_passes_dead","sca_dribbles","sca_shots","sca_fouled","sca_defense","gca","gca_per90","gca_passes_live","gca_passes_dead","gca_dribbles","gca_shots","gca_fouled","gca_defense"
"b2bd0f6c","2020-2021","FRA","1. Ligue 1","1st","Lille",24,33.2,120,3.62,77,22,7,4,8,2,16,0.48,11,2,1,1,1,0
"b2bd0f6c","2021-2022","FRA","1. Ligue 1","8th","Lille",25,11.2,31,2.76,17,8,1,0,4,1,2,0.18,1,0,0,0,1,0
"b2c66859","2020-2021","ENG","Jr. PL2 — Div. 1","12th","Leicester City",18,11.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2c66859","2021-2022","ENG","1. Premier League","9th","Leicester City",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2d03887","2013-2014","ESP","1. La Liga","10th","Levante",19,1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d03887","2014-2015","ESP","1. La Liga","14th","Levante",20,20.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d03887","2015-2016","ESP","1. La Liga","20th","Levante",21,23.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d03887","2016-2017","ESP","1. La Liga","9th","Alavés",22,27.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d03887","2017-2018","ESP","1. La Liga","6th","Betis",23,13.9,29,2.08,23,0,1,1,3,1,3,0.22,2,0,0,1,0,0
"b2d03887","2018-2019","ENG","1. Premier League","18th","Cardiff City",24,28.5,75,2.63,46,21,2,3,3,0,7,0.25,6,1,0,0,0,0
"b2d03887","2019-2020","ESP","1. La Liga","16th","Alavés",25,14.4,24,1.67,17,4,1,0,1,1,2,0.14,0,2,0,0,0,0
