"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","passes_completed","passes","passes_pct","passes_total_distance","passes_progressive_distance","passes_completed_short","passes_short","passes_pct_short","passes_completed_medium","passes_medium","passes_pct_medium","passes_completed_long","passes_long","passes_pct_long","assists","xa","xa_net","assisted_shots","passes_into_final_third","passes_into_penalty_area","crosses_into_penalty_area","progressive_passes"
"02ef8778","2015-2016","ESP","2. Segunda División","5th","Córdoba",20,9.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02ef8778","2016-2017","ESP","2. Segunda División","7th","Valladolid",21,21.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02ef8778","2017-2018","ESP","2. Segunda División","1st","Rayo Vallecano",22,27.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02ef8778","2018-2019","ESP","1. La Liga","20th","Rayo Vallecano",23,31.3,402,501,80.2,7188,1100,201,233,86.3,137,156,87.8,54,85,63.5,1,1.8,-0.8,20,32,11,0,37
"02ef8778","2019-2020","POR","1. Primeira Liga","2nd","Benfica",24,5.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02ef8778","2019-2020","ESP","1. La Liga","20th","Espanyol",24,11.9,214,271,79,3797,674,117,134,87.3,67,84,79.8,25,41,61,0,0.4,-0.4,6,13,7,1,14
"02ef8778","2020-2021","ESP","2. Segunda División","1st","Espanyol",25,33.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02ef8778","2021-2022","ESP","1. La Liga","11th","Espanyol",26,16.6,280,342,81.9,5418,962,152,171,88.9,73,88,83,48,63,76.2,2,1.1,0.9,15,30,5,0,33
"03049c8c","2018-2019","ESP","2. Segunda División","3rd","Málaga",20,12.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"03049c8c","2019-2020","ESP","2. Segunda División","14th","Málaga",21,25.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
